Etiquetas de fila,Suma de AreaMax2010,Suma de AreaMax2011,Suma de AreaMax2012,Suma de AreaMax2013,Suma de AreaMax2014,Suma de AreaMax2015,Suma de AreaMax2016,Suma de AreaMax2017,Suma de AreaMax2018,Suma de AreaMax2019,Suma de AreaMax2020
<01/01/2021,,,,,,,,,,,
ene,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
feb,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
mar,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45,51.45
abr,61.41,61.41,61.41,61.41,61.41,61.41,61.41,61.41,61.41,61.41,61.41
may,56.79,56.79,56.79,56.79,56.79,56.79,56.79,56.79,56.79,56.79,58.76
jun,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.77,55.96
jul,103.97,103.97,103.97,103.97,103.97,103.97,103.97,103.97,103.97,103.97,103.97
ago,558.72,558.72,558.72,558.72,558.72,558.72,558.72,558.72,558.72,558.72,558.72
sep,846.04,846.04,846.04,846.04,846.04,846.04,846.04,846.04,846.04,846.04,846.04
oct,822.16,822.16,822.16,822.16,822.16,822.16,822.16,822.16,822.16,822.16,822.16
nov,587.27,587.27,587.27,587.27,587.27,587.27,587.27,587.27,587.27,587.27,619
dic,211.74,211.74,211.74,211.74,211.74,211.74,211.74,211.74,211.74,211.74,278.39
Total general,3370.56,3370.56,3370.56,3370.56,3370.56,3370.56,3370.56,3370.56,3370.56,3370.56,3471.1
